OLD_CLUSTER,OLD_SIZE,BADGES_IN_COMMON,SPLIT_INTO
16815,3,3,2
16820,3,3,2
16823,18,18,3
16833,3,3,2
16847,9,9,2
16853,7,7,3
16854,14,14,3
16871,2,2,2
16873,9,9,2
16875,5,5,2
16881,8,8,2
16883,6,6,3
16884,12,12,3
16918,3,3,2
1692,3,3,2
16933,10,10,3
16937,7,7,2
16938,6,6,2
16940,18,18,2
16941,7,7,2
1696,14,14,2
16963,8,8,2
16971,6,6,2
16974,6,6,2
16976,47,47,10
16982,3,3,3
16983,7,7,2
1700,7,7,2
17014,11,11,2
17015,6,6,2
17021,7,7,3
1703,9,9,2
17034,9,9,3
17037,8,8,2
17040,8,8,2
17047,6,6,3
17049,3,3,2
17056,11,11,2
1706,19,19,2
17062,11,11,3
17065,15,15,3
17069,18,18,2
17071,5,5,2
17086,6,6,4
17088,8,8,2
17099,6,6,2
17100,8,8,2
17113,15,15,3
17115,11,11,3
17116,5,5,2
17117,10,10,2
17121,6,6,2
17126,6,6,3
1713,16,16,2
1714,6,6,2
17143,11,11,2
17148,9,9,2
17173,14,14,2
17178,8,8,4
17184,9,9,2
17189,30,30,6
17191,4,4,2
17196,5,5,2
17197,11,11,3
17199,2,2,2
17201,2,2,2
17223,7,7,2
17224,7,7,2
17232,9,9,2
17233,5,5,2
17247,6,6,2
1726,11,11,2
17261,8,8,2
17274,10,10,2
17280,6,6,2
17286,21,21,5
17288,6,6,2
17289,7,7,2
17290,8,8,2
1730,22,22,2
17306,14,14,2
17316,7,7,2
17322,7,7,2
17326,13,13,3
17327,2,2,2
17333,8,8,2
17335,10,10,4
17338,4,4,3
1734,16,16,2
17350,7,7,2
17354,2,2,2
17360,2,2,2
17363,6,6,2
17372,9,9,2
17373,10,10,2
17385,7,7,2
1739,2,2,2
174,11,11,3
17401,6,6,2
17413,8,8,2
17414,5,5,2
17416,7,7,2
17429,4,4,2
17436,11,11,3
17444,2,2,2
17448,7,7,2
17459,8,8,2
17465,15,15,3
17468,4,4,2
17480,6,6,4
17483,5,5,2
17488,2,2,2
17492,4,4,3
17498,51,51,10
1750,11,11,3
17500,7,7,2
17501,7,7,2
17503,7,7,2
1752,7,7,2
17526,39,39,5
17533,3,3,2
17535,13,13,3
17537,12,12,2
17546,7,7,4
1755,5,5,2
17555,7,7,2
17556,6,6,2
17562,2,2,2
17568,17,17,3
17591,10,10,2
17597,12,12,3
176,5,5,2
17602,9,9,2
17605,4,4,3
17606,4,4,2
17610,10,10,3
17611,6,6,3
17612,7,7,2
17614,14,14,2
17616,14,14,4
17619,10,10,2
17623,11,11,6
17642,8,8,3
17644,7,7,2
17646,9,9,2
17651,9,9,3
1766,10,10,2
17664,5,5,2
1767,7,7,2
17673,9,9,2
17679,7,7,2
17681,8,8,2
17683,14,14,2
17684,9,9,3
17691,6,6,3
17692,14,14,2
17720,10,10,2
17730,8,8,2
17732,6,6,2
17738,9,9,2
17739,12,12,4
17742,11,11,2
17743,14,14,2
17747,2,2,2
17766,6,6,2
17771,5,5,3
17772,6,6,2
17778,6,6,2
17779,6,6,3
17787,5,5,2
17793,11,11,2
17799,13,13,3
178,2,2,2
17810,4,4,3
17813,2,2,2
17835,20,20,7
17839,8,8,4
17841,10,10,2
17842,11,11,2
17860,9,9,2
17870,11,11,4
17876,12,12,2
17881,9,9,2
17882,7,7,2
17887,5,5,2
17901,10,10,2
17904,12,12,3
17906,2,2,2
17909,4,4,3
17919,6,6,2
17925,18,18,2
17933,9,9,2
17939,5,5,3
17944,8,8,2
17949,8,8,2
17951,8,8,2
17954,25,25,5
17957,9,9,2
17958,11,11,2
17961,8,8,3
17971,19,19,4
17973,9,9,3
17975,4,4,2
17986,10,10,2
17988,9,9,2
17991,11,11,7
17998,3,3,2
17999,8,8,3
18,6,6,2
18002,8,8,2
18008,9,9,3
18011,3,3,2
18020,7,7,2
18031,8,8,2
18034,6,6,3
18039,9,9,5
1804,12,12,2
18041,11,11,3
18049,7,7,2
18059,5,5,4
1806,14,14,2
18062,13,13,3
1808,12,12,2
18085,9,9,2
18096,8,8,3
18100,8,8,2
18104,11,11,2
18110,12,12,2
18118,7,7,2
18120,9,9,2
18125,3,3,2
18146,6,6,2
18170,8,8,2
18175,8,8,2
18179,2,2,2
18209,11,11,3
18210,13,13,2
18212,15,15,2
18243,4,4,2
18249,2,2,2
18254,9,9,2
1827,16,16,4
18287,5,5,2
1830,9,9,2
18310,7,7,3
18311,8,8,2
18315,9,9,3
18319,8,8,2
18327,7,7,3
18328,5,5,2
18335,7,7,2
18340,50,50,9
18343,55,55,9
18344,4,4,2
18347,10,10,2
18382,12,12,2
18384,8,8,2
18386,82,82,8
18387,48,48,7
18389,9,9,2
18390,14,14,2
18398,2,2,2
18399,8,8,3
18400,10,10,2
18404,18,18,2
18405,2,2,2
18407,15,15,3
18411,3,3,2
18414,15,15,2
18416,4,4,2
18427,3,3,2
18429,7,7,3
18432,25,25,2
18433,9,9,2
18438,3,3,2
18443,3,3,3
18445,10,10,2
18450,9,9,2
18457,9,9,2
18460,6,6,2
18474,4,4,2
18482,4,4,2
18483,2,2,2
