BADGE,CURRENT_TRANSFORMER,RECOMMENDED_TRANSFORMER,CLUSTER,CLUSTER_SIZE,MAPPED_PEERS,CURRENT_VOTES,MAJORITY_VOTES,MAJORITY_SHARE,CONFIDENCE_GAP,PEER_STABILITY,PEERS_CONSIDERED,TIMES_RECOMMENDED,BADGE_N_RUNS,RECOMMENDATION_STABILITY
1082691,14119,14150,19774,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1081486,14121,14158,20094,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1157398,2178,20439,20766,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1174563,27264,27256,20832,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1083679,14353,14325,20929,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1084101,13537,13541,21064,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1088709,14708,14733,21369,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1220516,17999,17992,21833,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1220508,26970,17999,21836,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1111932,25327,25338,22026,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1092652,18357,18320,22084,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1091348,13566,13550,22200,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1092288,25421,13474,22483,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1218811,19212,19213,22520,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1186343,19553,19558,22596,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1092617,26866,17780,22669,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1094294,16860,16909,23198,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1101345,26723,17394,23341,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1110144,14092,14057,23423,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1137506,11928,11940,23596,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1099261,71649,71653,24262,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
1112354,25725,25732,27361,7,7,1,6,0.8571,0.7143,1.0,6,5,5,1.0
