NEW_CLUSTER,NEW_SIZE,BADGES_IN_COMMON,MERGED_FROM
23598,3,3,2
23608,4,4,2
23609,5,5,2
23610,2,2,2
23615,7,7,2
23618,7,7,6
23625,5,5,2
23631,4,4,2
23632,7,7,2
23633,3,3,2
23639,4,4,2
23643,5,5,2
23657,2,2,2
23658,5,5,3
23662,4,4,3
23682,3,3,2
23696,3,3,2
23718,5,5,2
23729,5,5,3
23768,6,6,2
23773,6,6,5
23776,6,6,3
23781,8,8,4
23785,7,7,3
23807,7,7,2
23809,6,6,2
23835,5,5,3
23837,7,7,2
23849,7,7,2
23859,4,4,2
23884,6,6,2
23890,7,7,2
23895,6,6,2
23896,3,3,3
23904,5,5,3
23907,2,2,2
23909,4,4,3
23915,4,4,2
23933,3,3,2
23948,3,3,3
23957,8,8,3
23973,7,7,2
24,3,3,2
24014,4,4,2
24021,6,6,2
24066,2,2,2
24067,3,3,2
24072,8,8,2
24073,12,12,2
24079,4,4,2
24080,7,7,3
24090,7,7,3
24106,2,2,2
24111,11,11,3
24117,5,5,4
24132,8,8,2
24133,3,3,2
24174,5,5,2
24180,10,10,3
24185,8,8,2
24195,8,8,2
242,2,2,2
24209,3,3,2
24210,7,7,3
24216,14,14,4
24232,3,3,2
24249,3,3,3
24253,4,4,3
24291,6,6,2
243,2,2,2
24301,9,9,2
24302,6,6,2
24320,6,6,2
2433,7,7,2
24331,10,10,3
24334,5,5,2
24345,8,8,2
24346,4,4,2
24385,6,6,2
24408,10,10,2
24418,9,9,4
24425,5,5,2
24433,6,6,2
24454,5,5,2
24481,7,7,2
24489,5,5,2
24491,7,7,2
24492,10,10,5
245,8,8,3
24519,2,2,2
24525,3,3,2
24526,9,9,2
24532,3,3,2
24535,6,6,2
24540,4,4,2
24546,6,6,2
24562,6,6,2
24583,15,15,2
24613,5,5,2
24614,4,4,2
24635,3,3,2
2464,8,8,3
24652,6,6,2
24673,5,5,2
24689,14,14,2
247,3,3,2
24703,9,9,2
24710,4,4,2
24726,10,10,4
24730,7,7,3
24743,8,8,2
24763,5,5,2
24793,7,7,2
24797,3,3,3
2480,6,6,2
24802,3,3,3
24803,3,3,2
24814,7,7,2
24818,7,7,2
24822,8,8,2
24835,12,12,3
24848,12,12,2
24857,20,20,3
24869,6,6,2
24873,7,7,2
24876,5,5,3
24902,3,3,3
24909,6,6,2
24915,6,6,2
24925,2,2,2
24940,6,6,2
24942,7,7,2
24946,5,5,3
24957,22,22,2
24960,5,5,2
24965,3,3,2
24968,4,4,2
24970,2,2,2
24973,6,6,2
24997,5,5,2
24999,4,4,2
25,11,11,2
25005,4,4,2
25012,7,7,4
25036,2,2,2
2506,4,4,3
2509,6,6,2
25104,3,3,2
25105,7,7,2
25119,7,7,3
25129,10,10,2
25130,9,9,2
25132,4,4,2
25169,6,6,3
25170,7,7,2
25171,6,6,2
25172,5,5,2
25176,2,2,2
25210,6,6,2
25211,6,6,2
25229,3,3,3
25250,4,4,2
25270,4,4,2
25272,3,3,2
25300,15,15,2
25316,5,5,2
2532,2,2,2
25346,6,6,2
25368,6,6,2
25385,6,6,3
2539,7,7,2
25403,2,2,2
25421,7,7,2
25427,7,7,2
2543,3,3,2
25449,7,7,2
25451,4,4,2
25454,4,4,2
25473,3,3,3
25490,6,6,2
255,3,3,3
25516,7,7,2
25521,7,7,2
25530,4,4,2
25547,14,14,3
25550,7,7,2
25574,2,2,2
25598,18,18,4
25606,6,6,2
25608,6,6,3
25657,8,8,2
25663,2,2,2
25672,2,2,2
25719,5,5,2
258,2,2,2
25846,7,7,3
25861,4,4,2
25863,6,6,4
25864,8,8,4
25870,8,8,2
25875,6,6,2
25879,7,7,2
25882,8,8,6
25883,9,9,3
25889,4,4,3
25897,4,4,2
25899,5,5,2
25945,7,7,2
25947,5,5,2
25950,11,11,5
25987,6,6,3
25993,6,6,2
25995,3,3,3
25997,3,3,2
25998,5,5,3
26000,6,6,2
26002,2,2,2
26007,4,4,3
26022,5,5,2
26042,4,4,2
26092,2,2,2
2610,6,6,2
26163,2,2,2
26176,3,3,2
26187,6,6,3
26220,6,6,2
26225,4,4,4
26234,5,5,2
26244,3,3,2
26251,5,5,3
26253,4,4,2
26266,3,3,2
26273,2,2,2
26308,15,15,2
26316,4,4,2
26321,4,4,2
26324,2,2,2
26328,4,4,3
26346,6,6,2
2636,4,4,3
26365,5,5,3
26367,5,5,3
26371,4,4,3
26375,3,3,3
26379,7,7,2
26380,5,5,2
26382,4,4,3
26385,7,7,3
26389,4,4,4
26390,6,6,2
26395,4,4,3
26397,5,5,2
26398,8,8,3
26399,5,5,4
26405,5,5,2
26406,3,3,3
26407,2,2,2
26410,6,6,2
26417,3,3,2
26418,4,4,2
26425,5,5,4
26428,4,4,3
26429,3,3,2
26441,6,6,2
26448,9,9,3
26449,4,4,2
26461,8,8,4
26465,3,3,2
26489,7,7,2
26490,7,7,3
26503,6,6,2
2653,2,2,2
26579,5,5,3
26607,6,6,2
26642,2,2,2
26644,3,3,2
26663,2,2,2
26666,3,3,3
26685,3,3,3
26687,2,2,2
26700,7,7,2
26707,2,2,2
26725,5,5,3
26730,3,3,2
26735,7,7,2
2675,2,2,2
26750,5,5,2
26751,2,2,2
2676,3,3,2
26761,7,7,4
26764,7,7,3
26773,8,8,3
26779,4,4,2
26796,6,6,3
26811,2,2,2
26812,3,3,3
26818,4,4,3
26820,3,3,2
26838,6,6,3
26855,2,2,2
2686,3,3,2
26865,7,7,4
26873,6,6,3
26878,6,6,2
26887,4,4,2
2689,3,3,2
2690,3,3,2
26928,4,4,2
26957,5,5,2
26967,5,5,2
26978,7,7,3
27000,8,8,2
27006,8,8,4
27021,5,5,2
27026,9,9,2
27031,8,8,3
27062,5,5,2
27086,6,6,4
2709,2,2,2
27095,6,6,2
2710,3,3,2
27117,2,2,2
27118,5,5,2
27120,2,2,2
27121,3,3,3
27148,7,7,3
27151,2,2,2
27166,3,3,2
27184,2,2,2
27187,2,2,2
27192,6,6,2
27209,5,5,2
27224,2,2,2
27225,3,3,2
27229,3,3,2
27239,3,3,2
27245,4,4,3
27252,5,5,3
27257,4,4,2
27260,4,4,3
27265,2,2,2
27272,6,6,2
27278,4,4,2
27280,2,2,2
27291,3,3,3
273,4,4,2
27311,3,3,3
27312,4,4,2
27318,3,3,2
27324,3,3,3
27346,3,3,3
27359,4,4,2
27368,4,4,3
27383,2,2,2
27445,3,3,2
27463,3,3,2
27482,4,4,2
27489,6,6,2
27495,11,11,4
27497,8,8,3
27512,8,8,2
27524,9,9,2
27556,8,8,3
27560,5,5,3
27580,6,6,2
27589,2,2,2
27590,2,2,2
27603,6,6,2
27614,6,6,2
27615,9,9,2
27624,6,6,2
27655,8,8,2
27712,2,2,2
27727,8,8,2
2775,5,5,2
27763,6,6,2
27777,3,3,2
27785,15,15,3
27809,6,6,3
27823,6,6,2
27838,3,3,2
27852,5,5,2
27853,4,4,2
2789,4,4,2
27899,5,5,2
27917,2,2,2
2792,7,7,5
27959,4,4,2
27973,5,5,3
27975,6,6,2
28005,4,4,3
