BADGE,OLD_CLUSTER_SIZE,NEW_CLUSTER_SIZE,GAINED_PEERS,LOST_PEERS,JACCARD_PEERS
1003674,8,7,0,1,0.8571
1003676,7,7,1,1,0.7143
1003677,7,6,0,1,0.8333
1003678,8,9,1,0,0.875
1003679,8,9,1,0,0.875
1003680,10,7,1,4,0.5
1003681,10,7,1,4,0.5
1003682,10,7,1,4,0.5
1003683,10,7,1,4,0.5
1003698,17,18,1,0,0.9412
1003700,10,13,9,6,0.1667
1003702,1,13,12,0,0.0
1003704,1,7,6,0,0.0
1003706,9,13,10,6,0.1111
1003707,6,7,1,0,0.8333
1003708,10,13,9,6,0.1667
1003720,10,4,0,6,0.3333
1003721,10,4,0,6,0.3333
1003722,10,4,0,6,0.3333
1003723,10,4,0,6,0.3333
1003732,12,6,0,6,0.4545
1003733,12,6,0,6,0.4545
1003735,12,6,0,6,0.4545
1003736,4,10,6,0,0.3333
1003737,8,1,0,7,0.0
1003739,6,7,1,0,0.8333
1003740,6,8,2,0,0.7143
1003741,46,13,7,40,0.0962
1003742,46,23,1,24,0.4565
1003743,46,2,0,44,0.0222
1003744,5,13,8,0,0.3333
1003747,5,13,8,0,0.3333
1003752,10,7,1,4,0.5
1003753,10,7,1,4,0.5
1003755,1,7,6,0,0.0
1003771,8,6,0,2,0.7143
1003773,8,6,0,2,0.7143
1003774,6,5,0,1,0.8
1003776,6,5,0,1,0.8
1003777,6,5,0,1,0.8
1003779,6,7,1,0,0.8333
1003783,8,4,0,4,0.4286
1003784,8,4,0,4,0.4286
1003785,8,4,0,4,0.4286
1003795,6,1,0,5,0.0
1003796,6,5,0,1,0.8
1003797,6,5,0,1,0.8
1003805,6,6,1,1,0.6667
1003811,8,7,0,1,0.8571
1003812,8,7,0,1,0.8571
1003813,6,1,0,5,0.0
1003817,5,2,0,3,0.25
1003827,15,10,0,5,0.6429
1003831,9,8,0,1,0.875
1003834,9,8,0,1,0.875
1003838,8,1,0,7,0.0
1003839,8,8,1,1,0.75
1003840,8,8,1,1,0.75
1003841,7,6,0,1,0.8333
1003844,8,7,0,1,0.8571
1003850,1,8,7,0,0.0
1003851,2,8,6,0,0.1429
1003852,8,8,1,1,0.75
1003853,8,8,1,1,0.75
1003860,7,8,1,0,0.8571
1003861,9,8,0,1,0.875
1003867,9,7,0,2,0.75
1003870,8,7,1,2,0.625
1003871,1,7,6,0,0.0
1003872,8,7,1,2,0.625
1003875,7,6,0,1,0.8333
1003876,7,1,0,6,0.0
1003878,7,6,0,1,0.8333
1003879,7,6,0,1,0.8333
1003880,7,6,0,1,0.8333
1003882,2,68,67,1,0.0
1003884,8,8,1,1,0.75
1003895,9,7,0,2,0.75
